file,document_type,project_ids,study_cycle,phase,issue_date,total_upgrade_cost,in_service_timeline,project_cost_map_json
miso_docs\Final_20System_Impact_Study_Report-DPP_2021_Cycle_Phase_3_PUBLIC_20251105726302.pdf,SIS,"J1410,J1411,J1629,J1895,J1931,J1934,J1935,J1943,J1993,J2029,J2055,J2074,J2099,J2107,J2148,J2185,J2193,J2211,J2218,J2304,J2316",DPP 2021,Phase 3,11-05-2025,,24-48 months,{}
miso_docs\GI-DPP-2021_20West_Phase_2_System_Impact_Study_Final_Report_20250623_-_PUBLIC704357.pdf,SIS,"J1040,J1846,J1847,J1867,J1888,J1889,J1893,J1898,J1903,J1927,J1952,J1961,J1978,J1979,J1989,J1990,J1998,J2002,J2021,J2022,J2027,J2030,J2031,J2040,J2053,J2054,J2065,J2066,J2068,J2070,J2078,J2079,J2080,J2084,J2085,J2086,J2087,J2097,J2101,J2102,J2104,J2106,J2116,J2120,J2122,J2157,J2199,J2219,J2227,J2250,J2268,J2272,J2276,J2309",DPP 2021,Phase 2,,"$1,744,241,989",,"{""J1846"": 27521457, ""J1847"": 17826820, ""J1867"": 24283096, ""J1888"": 49937446, ""J1889"": 1489623, ""J1893"": 198308321, ""J1898"": 13989148, ""J1903"": 2148463, ""J1927"": 840604, ""J1952"": 88205390, ""J1961"": 78782989, ""J1978"": 36282497, ""J1979"": 134798114, ""J1989"": 117547900, ""J1990"": 81577498, ""J1998"": 27684911, ""J2002"": 11796885, ""J2021"": 5092435, ""J2022"": 36832636, ""J2027"": 13217130, ""J2030"": 21769784, ""J2031"": 10911110, ""J2040"": 36776096, ""J2053"": 37626710, ""J2054"": 78793311, ""J2065"": 18489219, ""J2066"": 15584780, ""J2068"": 4324571, ""J2070"": 15613330, ""J2078"": 4223273, ""J2079"": 2951145, ""J2080"": 57553732, ""J2084"": 32813898, ""J2085"": 30216827, ""J2086"": 62657331, ""J2087"": 11368643, ""J2097"": 16483931, ""J2101"": 24151515, ""J2102"": 12951160, ""J2104"": 41275419, ""J2106"": 1760084, ""J2116"": 1728209, ""J2120"": 24585356, ""J2122"": 11031720, ""J2157"": 12384565, ""J2199"": 25184275, ""J2219"": 12642911, ""J2227"": 28858011, ""J2250"": 83583730, ""J2268"": 17305622, ""J2272"": 3435387, ""J2276"": 4305326, ""J2309"": 12737645}"
miso_docs\GI-DPP-2022-West_Phase-1_MWEX_PUBLIC_FINAL636015.pdf,Other,"J1528,J1730,J2323,J2327,J2332,J2333,J2338,J2342,J2344,J2346,J2352,J2363,J2367,J2368,J2369,J2410,J2416,J2417,J2419,J2420,J2435,J2436,J2446,J2447,J2455,J2462,J2464,J2466,J2469,J2481,J2492,J2495,J2501,J2502,J2518,J2545,J2546,J2550,J2552,J2553,J2556,J2561,J2563,J2569,J2576,J2598,J2599,J2600,J2601,J2605,J2606,J2608,J2621,J2652,J2653,J2655,J2665,J2686,J2716,J2730,J2738,J2748,J2749,J2757,J2760,J2772,J2811,J2840,J2845,J2852,J2861,J2863,J2867,J2868,J2870,J2872,J2879,J2883,J2885,J2892,J2912,J2913,J2945,J2946,J2948,J2949,J2950,J2951,J2988,J2989,J2990,J3002,J3017,J3020,J3021,J3025,J3029,J3039,J3041,J3047,J3051,J3070,J3088,J3107,J3125,J3130,J3137,J3148,J3149,J3153,J3154,J3157,J3158,J3159,J3163,J3172,J3183,J3198,J3204,J3206,J3212,J3213,J3214,J3219",,Phase 1,05/24/2024,,,{}
expanded_docs_auto\GI-DPP-2021-ATC-Ph1_System_Impact_Study_Final_04272023_PUBLIC629014\Final System Impact Study Report-DPP 2021 Cycle Phase 1_20230510_PUBLIC.pdf,SIS,"J1410,J1411,J1629,J1751,J1752,J1884,J1895,J1930,J1931,J1934,J1935,J1936,J1937,J1938,J1943,J1945,J1954,J1955,J1964,J1971,J1983,J1993,J1994,J1996,J2029,J2055,J2062,J2074,J2099,J2107,J2117,J2148,J2185,J2188,J2193,J2211,J2218,J2271,J2277,J2293,J2304,J2316",DPP 2021,Phase 1,5-10-2023,,24-48 months,{}
expanded_docs_auto\GI-DPP-2021-ATC-Ph2_System_Impact_Study_Final_PUBLIC_09112024647597\Final System Impact Study Report-DPP 2021 Cycle Phase 2_CEII_20240909_PUBLIC_v2.pdf,SIS,"J1629,J1751,J1752,J1884,J1895,J1931,J1934,J1935,J1938,J1943,J1945,J1964,J1983,J1993,J1994,J1996,J2029,J2055,J2074,J2099,J2107,J2117,J2148,J2185,J2188,J2193,J2211,J2218,J2271,J2277,J2293,J2304,J2316",DPP 2021,Phase 2,9-9-2024,,,{}
expanded_docs_auto\GI-DPP-2021-Central_SIS_Phase_I_Report_Final_09112024_Public_648818\GI-DPP-2021-Central_SIS_Phase_I_Report_Final_09112024.pdf,SIS,"J1039,J1058,J1145,J1180,J1227,J1232,J1239,J1241,J1263,J1266,J1295,J1308,J1333,J1368,J1372,J1382,J1450,J1475,J1563,J1624,J1625,J1632,J1642,J1679,J1684,J1701,J1703,J1744,J1815,J1835,J1845,J1846,J1847,J1849,J1850,J1851,J1852,J1853,J1854,J1855,J1856,J1857,J1858,J1861,J1863,J1866,J1867,J1868,J1869,J1870,J1871,J1872,J1873,J1874,J1875,J1876,J1877,J1878,J1879,J1880,J1881,J1882,J1884,J1885,J1886,J1888,J1889,J1890,J1891,J1893,J1894,J1895,J1896,J1897,J1898,J1899,J1901,J1903,J1904,J1906,J1907,J1908,J1926,J1927,J1930,J1931,J1933,J1934,J1935,J1936,J1937,J1938,J1943,J1945,J1947,J1948,J1950,J1952,J1953,J1954,J1955,J1956,J1957,J1958,J1959,J1960,J1961,J1962,J1963,J1964,J1965,J1966,J1967,J1970,J1971,J1972,J1973,J1974,J1975,J1976,J1978,J1979,J1980,J1981,J1983,J1984,J1985,J1986,J1988,J1989,J1990,J1991,J1992,J1993,J1994,J1995,J1996,J1997,J1998,J1999,J2000,J2002,J2003,J2004,J2005,J2006,J2007,J2008,J2009,J2010,J2011,J2012,J2013,J2014,J2015,J2016,J2017,J2018,J2020,J2021,J2022,J2023,J2025,J2027,J2028,J2029,J2030,J2031,J2032,J2033,J2035,J2036,J2038,J2039,J2040,J2041,J2043,J2044,J2045,J2046,J2047,J2048,J2049,J2050,J2051,J2052,J2053,J2054,J2055,J2057,J2059,J2060,J2062,J2063,J2065,J2066,J2068,J2069,J2070,J2071,J2072,J2073,J2074,J2075,J2077,J2078,J2080,J2081,J2082,J2083,J2084,J2085,J2086,J2087,J2088,J2089,J2090,J2091,J2092,J2093,J2094,J2095,J2097,J2099,J2100,J2101,J2102,J2104,J2105,J2107,J2108,J2109,J2112,J2113,J2114,J2115,J2116,J2120,J2121,J2122,J2123,J2124,J2125,J2128,J2129,J2130,J2131,J2132,J2133,J2134,J2135,J2136,J2137,J2141,J2142,J2143,J2144,J2145,J2146,J2147,J2148,J2149,J2150,J2151,J2152,J2153,J2155,J2156,J2157,J2158,J2159,J2160,J2161,J2162,J2163,J2164,J2166,J2167,J2168,J2169,J2170,J2171,J2172,J2173,J2174,J2175,J2176,J2177,J2178,J2179,J2180,J2181,J2183,J2184,J2185,J2186,J2187,J2188,J2189,J2190,J2191,J2192,J2193,J2194,J2195,J2196,J2197,J2198,J2199,J2201,J2202,J2203,J2204,J2205,J2206,J2207,J2208,J2209,J2210,J2211,J2212,J2213,J2214,J2215,J2216,J2217,J2218,J2219,J2220,J2221,J2222,J2223,J2224,J2225,J2226,J2227,J2228,J2229,J2230,J2231,J2232,J2233,J2234,J2235,J2236,J2237,J2238,J2239,J2240,J2241,J2242,J2243,J2245,J2246,J2247,J2249,J2250,J2251,J2252,J2253,J2254,J2255,J2257,J2258,J2259,J2261,J2262,J2263,J2264,J2265,J2266,J2267,J2268,J2269,J2270,J2271,J2272,J2273,J2274,J2275,J2276,J2278,J2279,J2280,J2281,J2282,J2284,J2287,J2288,J2290,J2292,J2293,J2294,J2295,J2296,J2298,J2300,J2301,J2302,J2304,J2305,J2306,J2307,J2308,J2309,J2310,J2311,J2312,J2313,J2314,J2315,J2316,J2317,J2318,J2320",DPP 2021,Phase 1,,,,{}
expanded_docs_auto\GI-DPP-2021-ITC-Ph1_System_Impact_Study_Final_PUBLIC_04122023628512\GI DPP 2021 Cycle1 MI SIS Phase 1Report-FINAL_04112023.pdf,SIS,"J1210,J1226,J1255,J1320,J1379,J1550,J1571,J1586,J1658,J1844,J1845,J1860,J1862,J1863,J1880,J1894,J1900,J1902,J1905,J1909,J1910,J1911,J1912,J1913,J1914,J1915,J1916,J1917,J1918,J1920,J1921,J1922,J1924,J1925,J1929,J1932,J1939,J1940,J1942,J1944,J1949,J1951,J1969,J1980,J1982,J1984,J2001,J2026,J2055,J2056,J2057,J2061,J2064,J2069,J2098,J2100,J2118,J2119,J2129,J2139,J2260,J2266,J2279,J2283",DPP 2021,Phase 1,,"$480,020,139",,"{""J1844"": 0, ""J1845"": 1000000, ""J1860"": 0, ""J1862"": 26640000, ""J1863"": 44097, ""J1880"": 2672, ""J1894"": 1440000, ""J1900"": 5060000, ""J1902"": 0, ""J1905"": 0, ""J1909"": 24950000, ""J1910"": 24353714, ""J1911"": 0, ""J1912"": 0, ""J1913"": 0, ""J1914"": 103000, ""J1915"": 0, ""J1916"": 23000000, ""J1917"": 0, ""J1918"": 0, ""J1920"": 0, ""J1921"": 5800000, ""J1922"": 30300000, ""J1924"": 18310000, ""J1925"": 2110000, ""J1929"": 0, ""J1932"": 1280000, ""J1939"": 0, ""J1940"": 0, ""J1942"": 0, ""J1944"": 0, ""J1949"": 57479, ""J1951"": 0, ""J1969"": 0, ""J1980"": 2068, ""J1982"": 4700000, ""J1984"": 2083, ""J2001"": 0, ""J2026"": 75000, ""J2056"": 29610000, ""J2057"": 3170, ""J2061"": 0, ""J2064"": 7212480, ""J2069"": 60000, ""J2098"": 270000, ""J2100"": 10718, ""J2118"": 23000000, ""J2119"": 37000000, ""J2129"": 1080000, ""J2139"": 0, ""J2260"": 79000000, ""J2279"": 762658, ""J2283"": 13400000, ""J1255"": 7500000, ""J1379"": 60125000, ""J1571"": 5810000, ""J1586"": 14375000, ""J1658"": 9561000, ""J1320"": 3700000, ""J1210"": 18310000}"
expanded_docs_auto\GI-DPP-2021-ITC-Ph1_System_Impact_Study_Final_PUBLIC_08142023629852\GI DPP 2021 Cycle1 MI SIS Phase 1Report-Final_08162023.pdf,SIS,"J1379,J1586,J1844,J1845,J1860,J1862,J1863,J1880,J1894,J1900,J1902,J1905,J1909,J1910,J1911,J1912,J1913,J1914,J1915,J1916,J1917,J1918,J1920,J1921,J1922,J1924,J1925,J1929,J1932,J1939,J1940,J1942,J1944,J1949,J1951,J1969,J1980,J1982,J1984,J2001,J2026,J2056,J2057,J2061,J2064,J2069,J2098,J2100,J2118,J2119,J2129,J2139,J2260,J2279,J2283",DPP 2021,Phase 1,,"$248,569,866",,"{""J1844"": 973919, ""J1845"": 6530927, ""J1860"": 4648099, ""J1862"": 27017018, ""J1863"": 164497, ""J1880"": 2700, ""J1894"": 2708513, ""J1900"": 4985613, ""J1902"": 1767943, ""J1905"": 0, ""J1909"": 4158398, ""J1910"": 4158742, ""J1911"": 0, ""J1912"": 0, ""J1913"": 0, ""J1914"": 15942342, ""J1915"": 8822210, ""J1916"": 0, ""J1917"": 0, ""J1918"": 0, ""J1920"": 0, ""J1921"": 0, ""J1922"": 4964038, ""J1924"": 8895733, ""J1925"": 13410000, ""J1929"": 16054676, ""J1932"": 908494, ""J1939"": 0, ""J1940"": 0, ""J1942"": 0, ""J1944"": 0, ""J1949"": 437000, ""J1951"": 468820, ""J1969"": 0, ""J1980"": 2093, ""J1982"": 226362, ""J1984"": 2100, ""J2001"": 0, ""J2026"": 22173878, ""J2056"": 15051901, ""J2057"": 3210, ""J2061"": 0, ""J2064"": 9205602, ""J2069"": 975, ""J2098"": 7990049, ""J2100"": 10786, ""J2118"": 197378, ""J2119"": 0, ""J2129"": 330519, ""J2139"": 958881, ""J2260"": 48921918, ""J2279"": 16474532, ""J2283"": 0}"
expanded_docs_auto\GI-DPP-2021-South-Ph3_System_Impact_Study_Final_PUBLIC_08192025714158\GI DPP 2021 Cycle 1 South SIS Phase 3 Final Report.pdf,SIS,"J1849,J1851,J1855,J1856,J1858,J1870,J1872,J1873,J1890,J1891,J1897,J1899,J1904,J1946,J2010,J2047,J2071,J2075,J2081,J2088,J2089,J2091,J2127,J2133,J2134,J2143,J2149,J2152,J2153,J2165,J2173,J2180,J2181,J2190,J2208,J2224,J2228,J2237,J2249,J2252,J2261,J2262,J2287,J2289,J2292,J2294,J2297,J2298,J2302,J2314,J2317",DPP 2021,Phase 3,,"$1,053,187,099",,"{""J1849"": 3935000, ""J1851"": 2660000, ""J1855"": 111133680, ""J1856"": 14858617, ""J1858"": 15164814, ""J1870"": 9413193, ""J1872"": 4277500, ""J1873"": 4277500, ""J1890"": 137094326, ""J1891"": 16857187, ""J1897"": 18856265, ""J1899"": 18856265, ""J1904"": 6300070, ""J1946"": 38393958, ""J2047"": 12537500, ""J2071"": 12725000, ""J2075"": 7540500, ""J2081"": 338391, ""J2088"": 13353480, ""J2089"": 10087891, ""J2127"": 1603850, ""J2133"": 18938484, ""J2143"": 16892467, ""J2152"": 21666807, ""J2153"": 3350000, ""J2165"": 4900000, ""J2173"": 8510050, ""J2180"": 52607453, ""J2181"": 10819880, ""J2190"": 18854955, ""J2208"": 36184547, ""J2224"": 37090000, ""J2228"": 2315400, ""J2237"": 2049150, ""J2249"": 14174112, ""J2252"": 44735361, ""J2261"": 82851834, ""J2262"": 82851834, ""J2287"": 11907229, ""J2289"": 40533895, ""J2294"": 32764035, ""J2297"": 13933072, ""J2298"": 14299247, ""J2302"": 9830000, ""J2314"": 7462300, ""J2317"": 3400000}"
